det363655Tep00000000000060788467|1|op000006|productIDa0000000000000000217247|抢鲜看单片7元订购|itemc020131104561110000002295539|环太平洋【国】|0517200394734|700|2014.07.13 00:02:20|1
det361271Tep00000000000060788413|1|op000006|productIDa0000000000000000217036|抢鲜看单片5元订购|itemc020140422732435000002700971|化妆师-国语|0514200398146|500|2014.07.13 00:02:20|5
det637102Tep00000000000060788456|1|op000004|productID10000000000000000211269|抢鲜看5元单片订购|itemc020140704112460000002875404|非狐外传-国语版|051987935759|500|2014.07.13 00:02:21|1
det682075Tep00000000000060788478|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140710029335000002887750|冰封重生之门-国语版|yca8308884|700|2014.07.13 00:02:24|1
det291132Tep00000000000060788502|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140224215226000002568855|毒蛇-原声|025201141098|300|2014.07.13 00:02:25|1
det378946Tep00000000000060788414|1|op000004|productIDa0000000000000000216723|看大片3元单片订购|itemc020131010029773000002233479|泰迪熊-原声版|051257690300|300|2014.07.13 00:02:27|5
det365509Tep00000000000060788485|1|op000006|productIDa0000000000000000217041|热剧整部6元订购|itemc020140605487358000002806215|犀利仁师（陆续更新）|025200962550|600|2014.07.13 00:02:32|1
det775701Tep00000000000060788508|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140711809848000002890601|窃听风云3-国语版|sza769049|700|2014.07.13 00:02:36|1
det958904Tep00000000000060788552|1|spa00022|productIDa3000000000000000216877|游戏频道掌世界元宝10元||null|0515200195927|1000|2014.07.13 00:02:36|1
det418533Tep00000000000060788520|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140710029335000002887750|冰封重生之门-国语版|051257861103|700|2014.07.13 00:02:37|1
det605245Tep00000000000060788535|1|spa00030|productIDa5000000000000000219636|游戏东冠飓风战魂2道具扣费||null|0512200559218|500|2014.07.13 00:02:40|1
det584532Tep00000000000060788494|1|op000006|productIDa0000000000000000217036|抢鲜看单片5元订购|itemc020140702365296000002868966|爱寻迷-国语|0523200462541|500|2014.07.13 00:02:41|1
det685175Tep00000000000060788472|1|op000006|productIDa0000000000000000217247|抢鲜看单片7元订购|itemc020140710778286000002888284|窃听风云3-国语|0519200879367|700|2014.07.13 00:02:45|1
det001891Tep00000000000060788482|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140527043030000002784823|赤焰战场-原声|0523200482588|300|2014.07.13 00:02:48|1
det414841Tep00000000000060788451|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020130815930223000002102945|蜡笔小新之风起云涌的丛林冒险-国语版|0510200615712|700|2014.07.13 00:03:08|1
det716438Tep00000000000060788415|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020120503150260000001010265|金刚|0514200651703|300|2014.07.13 00:03:09|5
det007221Tep00000000000060788416|1|op000004|productIDa0000000000000000219485|豪斯医生第二季|itemc020140515687807000002756905|豪斯医生第二季-原声版|wx9005457|700|2014.07.13 00:03:10|5
det053192Tep00000000000060788526|1|spa00030|productIDa5000000000000000219636|游戏东冠飓风战魂2道具扣费||null|0512200559218|1500|2014.07.13 00:03:22|1
det034659Tep00000000000060788545|1|spa00044|productIDa5000000000000000217200|游戏妙险岛充值||null|0514200415698|400|2014.07.13 00:03:26|1
det575797Tep00000000000060788417|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140708457758000002882377|哈利波特5：哈里波特与凤凰社-国语|0514200608034|300|2014.07.13 00:03:29|5
det583445Tep00000000000060788553|1|spa00022|productIDa3000000000000000216877|游戏频道掌世界元宝10元||null|0515200195927|1000|2014.07.13 00:03:29|1
det714203Tep00000000000060788418|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020140224215226000002568855|毒蛇-原声|025200869979|300|2014.07.13 00:03:36|5
det032841Tep00000000000060788419|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020111205473588000000718764|巨蟒大战恐鳄|0513200684294|300|2014.07.13 00:03:38|5
det058088Tep00000000000060788450|1|op000006|productIDa0000000000000000217039|热剧整部4元订购|itemc020140708073653000002881400|战长沙|0513200375713|400|2014.07.13 00:03:42|1
det800454Tep00000000000060788484|1|op000006|productIDa0000000000000000217034|看大片单片3元订购|itemc020130204691021000001634069|007之黑日危机【英】|0512201432224|300|2014.07.13 00:03:46|1
det238386Tep00000000000060788479|1|op000004|productID10000000000000000211269|抢鲜看5元单片订购|itemc020140213042705000002541611|宇宙英雄之超银河传说-国语版new|0512201501115|500|2014.07.13 00:03:49|1
det507612Tep00000000000060788420|1|op000004|productID10000000000000000211541|抢鲜看6元单片订购|itemc020140123330330000002498614|扫毒-国语版|0513200068420|600|2014.07.13 00:03:49|5
det558046Sub00000000000060788388|1|spa00105|productIDa0000000000000000219622|看大片20元包月|||0513200601291|2000|2014.07.13 00:03:53|1
det558225Tep00000000000060788421|1|op000004|productIDa0000000000000000219659|看大片5元单片订购|itemc020140711021668000002890701|致命英雄-原声版|025200495546|500|2014.07.13 00:03:57|5
det689461Tep00000000000060788521|1|op000006|productIDa0000000000000000217039|热剧整部4元订购|itemc020140708073653000002881400|战长沙|0514200453365|400|2014.07.13 00:03:57|1
det358025Tep00000000000060788463|1|op000006|productIDa0000000000000000217039|热剧整部4元订购|itemc020140708073653000002881400|战长沙|0519200154942|400|2014.07.13 00:04:00|1
det078218Tep00000000000060788483|1|op000006|productIDa0000000000000000217184|看大片单片2元订购|itemc020140624351803000002851144|100英尺-原声|0512201046720|200|2014.07.13 00:04:04|1
det623034Tep00000000000060788454|1|op000006|productIDa0000000000000000217184|看大片单片2元订购|itemc020140603925612000002800578|原罪-原声|0512201181817|200|2014.07.13 00:04:06|1
det707261Tep00000000000060788422|1|op000004|productIDa0000000000000000216723|看大片3元单片订购|itemc020130628870064000001976156|木乃伊3龙帝之墓NEW-国语版|025200420306|300|2014.07.13 00:04:08|5
det871620Tep00000000000060788423|1|op000004|productID10000000000000000211543|抢鲜看7元单片订购|itemc020140711809848000002890601|窃听风云3-国语版|025200310754|700|2014.07.13 00:04:13|5
