3|0516201073329|蝙蝠侠：黑暗骑士崛起-国语|5
10|0514200451757|史前一万年-原声|1
5|0512200945531|继承者们|5
4|0519200899136|null|1
11|0511200459876|鼹鼠姐妹看世界|1
9|0515200574904|分手大师-国语|1
2|0510200107284|蜡笔小新之B级美食大逃亡-国语版|1
1|025200758784|三天（危情三日）|1
5|0512200515068|终结者2018NEW-中文版|1
1|025201363306|甜蜜杀机-国语|1
2|0510200644413|海绵宝宝4|1
13|0527200355540|赛罗奥特曼外传流星的誓言|1
5|0512200682310|哥斯拉1998版-国语版|5
10|0514200628578|分手大师-国语|1
10|0514200685952|变形金刚3【国】|1
2|0510200609176|海绵宝宝2|1
2|0510200106942|特殊身份-国语版|1
1|025200366372|蜘蛛-原声|1
5|0512201352389|欢天喜地俏冤家（陆续更新）|5
9|0515200193884||5
1|025201206436|来自星星的你|1
9|0515200386311|波鲁鲁冰雪大冒险|1
9|0515200537791|收获的季节（陆续更新）|1
5|0512201303762|赤焰战场-原声|5
10|0514200216395|冰封重生之门new-国语版|1
2|0510200470399|300勇士：帝国崛起-原声|5
6|0513200246870|麦兜当当伴我心|1
4|0519200871781|猩球崛起-原声|1
4|0519200813997|超人归来-国语|5
2|0510200635938|三天（危情三日）|1
6|ntkd83338980|整容日记-国语版|5
5|0512200153553|终结者2018NEW-中文版|5
9|0515200335223|收获的季节（陆续更新）|1
13|0527200154083|催眠大师-国语版|1
5|0512201272695|天线宝宝4|1
2|0510200575756|街尾凶宅-原声|5
4|0519200344832|急诊男女-原声版|5
4|051980693653|分手大师-国语版|1
9|0515200677208|三天（危情三日）|1
11|0511200534613|超凡蜘蛛侠-原声|5
4|051989186245|null|1
6|0513200523037|分手大师-国语|1
6|051387961283||5
11|0511200509795|绿巨人2【国】|5
4|0519200515509|宿醉3-原声|5
11|0511200580161|冰封重生之门new-国语版|5
11|0511200392077|鼹鼠姐妹看世界|1
2|0510200056104|复仇者联盟【国】|1
1|025201103183|收获的季节（陆续更新）|5
5|0512201259096|窃听风云3-国语|5
1|025200885143|一见不钟情（陆续更新）|1
3|0516200862656|神秘世界历险记|1
1|025201110487|雷神【英】|1
5|0512201417800|乐高蝙蝠侠大电影【英】|1
1|025200123654|魔警-粤语版|5
2|051087375578|开心超人2启源星之战-国语版|1
2|0510200550508|威震八方-原声|1
4|0519200247871|疯狂72小时-国语版|1
2|0510200078157|蜂鸟特攻-原声版|5
1|025201276193|神偷奶爸2-国语|5
5|0512201244429|雷神【英】|1
12|0523200402114|诸神之战2-原声|1
4|0519200906589|蜂鸟特攻-原声|1
13|052783558001|猫狗大战2-国语版|5
12|0523200479404|分手大师-国语|5
5|051257075748||1
11|0511200412503|寒山潜龙下部【国】（跟播）|1
10|0514200315443|整容日记-国语版|5
10|0514200148815|美国骗局-原声版|5
6|0513200096082|梦比优斯奥特兄弟-国语版|1
9|0515200485632|继承者们|5
4|czv6895139||1
10|0514200472457|变形金刚[中]|5
3|0516200684262|点金胜手上部【国】（跟播）|1
1|025201089228|超凡蜘蛛侠-原声|5
2|0510200423331|波鲁鲁冰雪大冒险|1
6|0513200035027|玩尽杀绝4-原声版|5
2|0510200421966|冰雪奇缘-原声|1
10|0514200317318|null|1
2|0510200663284|波鲁鲁冰雪大冒险|1
4|0519200697723|被解救的姜戈-国语|1
10|0514200670287|蜘蛛侠1-原声|1
2|wx9631593|一号目标-国语版|5
9|yca86078908|疯狂72小时-国语版|1
1|b00407677|终结者2018NEW-中文版|5
4|czv3909156||1
4|0519200902618|猪猪侠之??危机|5
2|051083033888|商海通牒-原声版|5
9|0515200356529|收获的季节（陆续更新）|1
2|0510200083373||1
1|025200080060|冰封重生之门new-国语版|1
13|0527200501679||1
1|025200909499|超级魔术师-原声|1
5|0512201247826|爱情公寓4|1
12|052387094388|忠奸人上部【粤】（跟播）|1
10|0514200544196|塞罗的决死之战|1
1|025200851600|活埋-原声|1
1|025201294748|铁血精英【英】|1
11|0511200415882|特工艾米拉-国语版|5
1|025201335276|美国骗局-原声|1
5|0512200982291|三天（危情三日）|1
3|051686230312|2012new-中文版|1
2|0510200451034|蜡笔小新剧场版B级美食大逃亡-国语|5
9|0515200053266|僵尸管家-原声版|1
3|0516200779871|飓风战魂下部|1
12|0523200413069||1
10|0514200377050|同桌的你-国语版|1
