12|052388627158|魔警-国语版|1
10|0514200268826|鲁邦三世VS名侦探柯南-原声版|1
3|0516200989907|梦梦狗2|1
1|025200740299|催眠大师-国语|5
12|0523200402114|致命罗密欧【国】|1
3|0516200671127|梦境之战下部|1
10|0514200296688|无处可逃-原声版|5
1|025201310647|铁线虫入侵-原声|1
6|0513200190403||1
4|0519200490340|分手大师-国语|1
3|051689229978||1
3|0516200533378|奥特曼传奇-国语|1
5|15370057560||1
5|0512200778753|原罪-原声|1
2|0510200071743|她-原声版|1
9|051586680288|分手大师-国语|1
5|0512200395297|星际迷航-中文版|5
12|0523200681390|新济公活佛上部（陆续更新）|1
6|ntkd88602915|分手大师-国语版|1
1|025200513314|2012new-中文版|5
6|0513200006338|分手大师-国语版|1
12|0523200496344|超决战！贝利亚银河帝国-国语|5
6|0513200742200|新济公活佛上部（陆续更新）|1
6|0513200646339|新樱桃小丸子4|1
4|0519200334484|突袭本拉登-原声版|1
2|wx9959077||1
10|0514200140754|null|1
10|0514200397944|死亡飞车【英】|1
10|0514200431122|寒山潜龙下部【国】（跟播）|5
10|0514200688268|另一个波琳家的女孩-原声|1
5|0512201075527|蜘蛛侠3-原声|1
2|0510200773147|分手大师-国语|5
2|0510200346013|巴啦啦小魔仙大电影|1
1|025200760781|史前一万年-原声|1
1|025200158230||5
5|0512201470816|HD-黑帮追缉令-原声版|1
12|0523200575288|美国骗局-原声|1
5|sza898416|分手大师-国语版|5
1|b00366413|分手大师-国语版|1
8|051787222981|灵魂战车2|1
1|025200966245|分手大师-国语版|1
1|025200825579|忠奸人上部【国】（跟播）|1
1|025201286555|null|1
3|0516200987340|尖峰时刻【英】|1
13|0527200134867|null|1
1|025201005603|新济公活佛上部（陆续更新）|5
6|0513200116472|笔仙惊魂3-国语版|1
13|0527200134867|null|1
13|0527200134867|null|1
4|0519200491265|变形金刚2：复仇之战-原声|1
2|0510200300831|赛尔号3战神联盟-国语版|1
13|0527200134867|null|1
1|025200825579|三天（危情三日）|5
13|0527200134867|null|1
1|02585579549|指环王3王者归来[国]|5
5|0512200188684|斯巴达300勇士帝国崛起-原声版|5
3|0516201130635||1
2|051086985779|催眠大师-国语|1
8|051789860342|收获的季节（陆续更新）|5
10|0514200387469|分手大师-国语|1
11|051188965188|速度与激情6-原声版|1
9|0515200133663|窃听风云3-国语版|5
9|0515200074383|致命紫罗兰new-原声版|5
1|025201180230|被解救的姜戈-国语|1
10|0514200358294|新济公活佛上部（陆续更新）|5
2|0510200181447|分手大师-国语版|1
5|0512200387489||1
9|0515200324638|潜艇总动员4章鱼奇遇记-国语版|1
5|051252033976|分手大师-国语版|1
1|025200411602|金蝉脱壳-原声版|5
1|025200663403|分手大师-国语版|1
10|0514200437197|神枪之倒刺|5
6|051386190598|巴啦啦小魔仙2魔法的考验-国语版|1
1|025201362695|原罪-原声|1
2|0510200604304|夺宝联盟-国语|1
4|0519200654911|分手大师-国语|5
4|0519200655107|变形金刚2：复仇之战-原声|1
12|0523200404467|奥特曼传奇-国语|5
4|0519200524418||1
